"ID","UniqueId","Date","Time","site","TYPE","MakeId","ModelId","All Data With MakeandModel Field_MakeandModel","Make and Model Lookup With MakeandModel Field_MakeandModel","Make Code","Make Desc","Model Code","Model Desc","Generic Model","PropulsionTypeId","Propulsion Type Code","Propulsion Type Desc","BodyTypeId","Body Type Code","Body Type Desc 1","BodyTypeDesc2","Postcode","MonthFirstReg","FirstRegMonth","YearManufacture","WheelPlanId","Wheel Plan Code","Wheel Plan Desc","GrossWeight","EngineSize","Co","Co2","Part","Nox","Hc","Hcnox","Euro","EuroStatusNum","Mass"
40,"903911","18/06/2016","00:12:14","1",,"MN","113","MN_113","MN_113","MN","FORD","113","GRAND C-MAX ZETEC TDCI 115","FORD C-MAX","2","2","DIESEL","96","96","CARS","Multi Purpose Vehicle","YO627","2014-07","2014-07-01","2014","C","C","2 AXLE RIGID BODY","2200","1560","0.189","124","NULL","0.165","NULL","0.184","Euro 5","715/2007; 195/2","1567"
41,"890129","18/06/2016","00:12:17","1",,"MB","775","MB_775","MB_775","MB","FORD","775","FIESTA ZETEC","FORD FIESTA","1","1","PETROL","13","13","CARS","3 Door Hatchback","HG058","2011-10","2011-10-01","2011","C","C","2 AXLE RIGID BODY","1490","1242","0.341","129","NULL","0.023","0.051","NULL","Euro 5","715/2007; 692/2","1085"
42,"867009","18/06/2016","00:12:50","1",,"MN","447","MN_447","MN_447","MN","FORD","447","TOURNEO CUSTOM 300 LTD E-TECH","FORD TOURNEO","2","2","DIESEL","96","96","CARS","Multi Purpose Vehicle","TS038","2014-11","2014-11-01","2014","C","C","2 AXLE RIGID BODY","3000","2198","0.535","172","NULL","0.195","NULL","0.22","Euro 5","715/2007; 195/2","2290"
43,"990147","18/06/2016","00:12:51","1",,"RQ","94","RQ_94","RQ_94","RQ","TOYOTA","94","PROACE 1200 L2H1 HDI","TOYOTA PROACE","2","2","DIESEL","22","22","GOODS","Panel Van","HG011","2014-11","2014-11-01","2014","C","C","2 AXLE RIGID BODY","0","1997","0.351","183","0.001","0.187","NULL","0.23","NULL","EC 195/2013M","1945"
44,"834173","18/06/2016","00:13:15","1",,"M1","873","M1_873","M1_873","M1","FORD","873","FOCUS CL","FORD FOCUS","1","1","PETROL","14","14","CARS","5 Door Hatchback","HG015","2003-11","2003-11-01","2003","C","C","2 AXLE RIGID BODY","0","1388","0.662","158","NULL","0.052","0.137","NULL","NULL","98/69/EC","1163"
45,"970662","18/06/2016","00:13:22","1",,"R6","147","R6_147","R6_147","R6","SUZUKI","147","GRAND VITARA TD","SUZUKI VITARA","2","2","DIESEL","6","6","CARS","Estate","LS298","2002-03","2002-03-01","2002","C","C","2 AXLE RIGID BODY","0","1997","0.145","190","0.058","0.488","0.018","0.505","NULL","1999/102/EC","1570"
46,"870629","18/06/2016","00:13:36","1",,"DC","358","DC_358","DC_358","DC","VAUXHALL","358","MERIVA DESIGN CDTI","VAUXHALL MERIVA","2","2","DIESEL","96","96","CARS","Multi Purpose Vehicle","HG042","2006-03","2006-03-01","2006","C","C","2 AXLE RIGID BODY","0","1686","0.112","140","0.02","0.183","NULL","0.198","NULL","70/220*2003/76B","1455"
47,"922504","18/06/2016","00:13:41","1",,"DC","789","DC_789","DC_789","DC","VAUXHALL","789","ASTRA BREEZE","VAUXHALL ASTRA","1","1","PETROL","14","14","CARS","5 Door Hatchback","YO231","2008-04","2008-04-01","2008","C","C","2 AXLE RIGID BODY","0","1364","0.192","146","NULL","0.053","0.057","NULL","NULL","70/220*2003/76B","1240"
48,"947814","18/06/2016","00:13:44","1",,"MK","898","MK_898","MK_898","MK","BMW","898","X1 XDRIVE18D XLINE","BMW X1","2","2","DIESEL","6","6","CARS","Estate","HG013","2015-06","2015-06-01","2015","C","C","2 AXLE RIGID BODY","0","1995","0.089","144","NULL","0.165","NULL","0.181","Euro 5","630/2012J","1640"
49,"904399","18/06/2016","00:13:58","1",,"D6","759","D6_759","D6_759","D6","NISSAN","759","QASHQAI TEKNA DCI","NISSAN QASHQAI","2","2","DIESEL","14","14","CARS","5 Door Hatchback","UB089","2016-05","2016-05-01","2016","C","C","2 AXLE RIGID BODY","0","1461","0.051","103","0.3","0.022","NULL","0.039","NULL","715/2007/EC*2015/45/EC (W)","1535"
50,"933080","18/06/2016","00:13:59","1",,"MJ","269","MJ_269","MJ_269","MJ","AUDI","269","A3 TECHNIK MPI","AUDI A3","1","1","PETROL","13","13","CARS","3 Door Hatchback","YO071","2009-12","2009-12-01","2009","C","C","2 AXLE RIGID BODY","0","1595","0.761","162","NULL","0.032","0.064","NULL","NULL","70/220/EWG*2006/96B/EC","1260"
51,"925015","18/06/2016","00:15:21","1","Hackney","Q0","423","Q0_423","Q0_423","Q0","SKODA","423","OCTAVIA S TDI CR","SKODA OCTAVIA","2","2","DIESEL","14","14","CARS","5 Door Hatchback","LS082","2012-03","2012-03-01","2012","C","C","2 AXLE RIGID BODY","1950","1598","0.275","119","NULL","0.131","NULL","0.16","NULL","715/2007*692/2008A","1350"
52,"135324","18/06/2016","00:15:24","1","Private Hire","MM","295","MM_295","MM_295","MM","MERCEDES","295","VITO 113 CDI TRAVELINER","MERCEDES VITO","2","2","DIESEL","96","96","CARS","Multi Purpose Vehicle","LS184","2013-06","2013-06-01","2013","C","C","2 AXLE RIGID BODY","3050","2143","0.046","190","0.19","0.197","NULL","0.216","NULL","715/2007*692/2008G","2179"
53,"978900","18/06/2016","00:15:50","1",,"D5","301","D5_301","D5_301","D5","HONDA","301","CR-V EX I-DTEC","HONDA CRV","2","2","DIESEL","6","6","CARS","Estate",,"2011-03","2011-03-01","2011","C","C","2 AXLE RIGID BODY","1722","2199","0.209","171","0.001","0.154","NULL","NULL","NULL","EC 715/2007 AS LAST AMENDED BY","2160"
54,"931077","18/06/2016","00:15:53","1",,"MA","371","MA_371","MA_371","MA","FORD","371","FOCUS ZETEC CLIMATE AUTO","FORD FOCUS","1","1","PETROL","14","14","CARS","5 Door Hatchback","LS211","2006-01","2006-01-01","2006","C","C","2 AXLE RIGID BODY","0","1596","0.25","184","NULL","0.06","0.071","NULL","Euro 4","98/69/EC","1286"
